ttl,ip,rtt_mean,rtt_std,loss_rate
1,*,*,*,1.0
2,10.0.28.1,4.4425129890441895,0.9991823769129118,0.2
3,*,*,*,1.0
4,10.0.3.1,4.01616096496582,*,0.8
5,172.30.21.1,5.289506912231445,4.256869006992525,0.0
6,183.241.252.1,4.9560546875,1.056355500137544,0.0
7,*,*,*,1.0
8,*,*,*,1.0
9,221.183.89.101,9.733080863952637,4.831447732735163,0.2
10,221.183.46.249,9.364843368530273,0.46205985039383873,0.0
11,221.183.55.105,13.514423370361328,3.5584714161358852,0.0
12,223.120.12.33,186.07101440429688,1.083582076663862,0.0
13,223.120.6.54,184.9745512008667,1.475966276680765,0.2
14,223.119.66.106,185.2891445159912,0.8858425756341557,0.2
15,108.162.243.31,185.93249320983887,4.472804112156652,0.0
16,104.18.6.16,183.82306098937988,0.6574084053351928,0.0
