ttl,ip,rtt_mean,loss_rate
1,???,0.0,1.0
2,10.0.28.1,10.4,0.0
3,10.0.4.21,3.1,0.2
4,10.0.3.1,2.6,0.75
5,172.30.21.9,3.1,0.0
6,183.241.254.1,4.7,0.0
7,211.136.61.161,5.3,0.85
8,???,0.0,1.0
9,221.183.89.97,7.2,0.05
10,221.183.46.249,6.7,0.0
11,221.183.55.109,8.6,0.0
12,223.120.12.33,182.1,0.05
13,223.120.6.54,186.3,0.0
14,223.119.66.106,186.4,0.35
15,108.162.243.49,187.6,0.0
16,104.18.7.16,186.3,0.0
17,*,*,1.0
18,*,*,1.0
19,*,*,1.0
20,*,*,1.0
21,*,*,1.0
22,*,*,1.0
23,*,*,1.0
24,*,*,1.0
25,*,*,1.0
26,*,*,1.0
27,*,*,1.0
28,*,*,1.0
29,*,*,1.0
30,*,*,1.0
